ProviderId,DataYear,FiscalYear,AHRQ_PSI_90_Score,CLABSI_Score,CAUTI_Score,SSI_Score
020024,2016,2016,6.0000,N/A,N/A,9
020026,2014,2015,9,1,Not Available,NULL
020026,2015,2016,9,1,Not Available,6
020026,2016,2016,9.0000,1,N/A,6
020027,2014,2015,7,Not Available,Not Available,NULL
020027,2015,2016,7,Not Available,Not Available,Not Available
030001,2014,2015,9,1,1,NULL
030001,2015,2016,9,1,1,6
030001,2016,2016,9.0000,1,1,6
030002,2014,2015,6,7,8,NULL
030002,2015,2016,3,6,8,8
030002,2016,2016,3.0000,6,8,8
030006,2014,2015,10,8,8,NULL
030006,2015,2016,9,6,6,8
030006,2016,2016,9.0000,6,6,8
030007,2014,2015,8,1,2,NULL
030007,2015,2016,5,1,2,4
030007,2016,2016,5.0000,1,2,4
030010,2014,2015,7,5,8,NULL
030010,2015,2016,3,4,6,7
030010,2016,2016,3.0000,4,6,7
030011,2014,2015,6,2,8,NULL
030011,2015,2016,5,3,10,10
030011,2016,2016,5.0000,3,10,10
030012,2014,2015,8,3,9,NULL
030012,2015,2016,9,7,3,1
030012,2016,2016,9.0000,7,3,1
030013,2014,2015,4,5,4,NULL
030013,2015,2016,1,3,3,5
030013,2016,2016,1.0000,3,3,5
030014,2014,2015,1,9,7,NULL
030014,2015,2016,1,8,7,8
030014,2016,2016,1.0000,8,7,8
030016,2014,2015,9,3,3,NULL
030016,2015,2016,10,6,4,7
030016,2016,2016,10.0000,6,4,7
030022,2014,2015,10,10,10,NULL
030022,2015,2016,10,10,10,5
030022,2016,2016,10.0000,10,10,5
030023,2014,2015,4,4,8,NULL
030023,2015,2016,2,7,9,10
030023,2016,2016,2.0000,7,9,10
030024,2014,2015,10,7,8,NULL
030024,2015,2016,9,5,7,3
030024,2016,2016,9.0000,5,7,3
030030,2014,2015,9,6,5,NULL
030030,2015,2016,3,7,5,2
030030,2016,2016,3.0000,7,5,2
030033,2014,2015,1,Not Available,1,NULL
030033,2015,2016,1,Not Available,1,8
030033,2016,2016,1.0000,N/A,1,8
030036,2014,2015,3,3,2,NULL
030036,2015,2016,3,2,3,4
030036,2016,2016,3.0000,2,3,4
030037,2014,2015,10,8,5,NULL
030037,2015,2016,7,10,8,2
030037,2016,2016,7.0000,10,8,2
030038,2014,2015,2,6,9,NULL
030038,2015,2016,2,4,8,8
030038,2016,2016,2.0000,4,8,8
