ProviderId,DataYear,FiscalYear,AHRQ_PSI_90_Score,CLABSI_Score,CAUTI_Score,SSI_Score
250102,2015,2016,2,10,10,6
250102,2016,2016,2.0000,10,10,6
250104,2014,2015,2,4,8,NULL
250104,2015,2016,1,8,9,7
250104,2016,2016,1.0000,8,9,7
250117,2014,2015,8,Not Available,9,NULL
250117,2015,2016,9,Not Available,8,3
250117,2016,2016,9.0000,N/A,8,3
250122,2014,2015,1,Not Available,1,NULL
250122,2015,2016,1,Not Available,1,1
250122,2016,2016,1.0000,N/A,1,1
250123,2014,2015,10,7,4,NULL
250123,2015,2016,8,4,1,2
250123,2016,2016,8.0000,4,1,2
250124,2014,2015,7,Not Available,Not Available,NULL
250124,2015,2016,7,Not Available,Not Available,Not Available
250124,2016,2016,7.0000,N/A,N/A,N/A
250126,2014,2015,5,Not Available,Not Available,NULL
250126,2015,2016,5,Not Available,Not Available,Not Available
250126,2016,2016,5.0000,N/A,N/A,N/A
250127,2015,2016,7,Not Available,Not Available,10
250127,2016,2016,7.0000,N/A,N/A,10
250128,2014,2015,4,Not Available,1,NULL
250128,2015,2016,4,Not Available,7,Not Available
250128,2016,2016,4.0000,N/A,7,N/A
250134,2014,2015,7,Not Available,Not Available,NULL
250134,2015,2016,Not Available,Not Available,Not Available,Not Available
250134,2016,2016,N/A,N/A,N/A,N/A
250136,2014,2015,7,Not Available,Not Available,NULL
250136,2015,2016,6,Not Available,Not Available,7
250136,2016,2016,6.0000,N/A,N/A,7
250138,2014,2015,5,10,6,NULL
250138,2015,2016,7,10,3,9
250138,2016,2016,7.0000,10,3,9
250141,2014,2015,10,9,9,NULL
250141,2015,2016,10,9,10,2
250141,2016,2016,10.0000,9,10,2
250151,2014,2015,7,Not Available,Not Available,NULL
250151,2015,2016,6,Not Available,Not Available,Not Available
250151,2016,2016,6.0000,N/A,N/A,N/A
250152,2014,2015,Not Available,Not Available,Not Available,NULL
250152,2015,2016,Not Available,Not Available,Not Available,Not Available
250152,2016,2016,N/A,N/A,N/A,N/A
250162,2014,2015,2,Not Available,1,NULL
250162,2015,2016,4,Not Available,1,1
250162,2016,2016,4.0000,N/A,1,1
250163,2014,2015,Not Available,Not Available,Not Available,NULL
250163,2015,2016,Not Available,Not Available,Not Available,Not Available
250163,2016,2016,N/A,N/A,N/A,N/A
250167,2014,2015,Not Available,Not Available,Not Available,NULL
250167,2015,2016,5,Not Available,1,Not Available
250167,2016,2016,5.0000,N/A,1,N/A
250168,2014,2015,Not Available,Not Available,Not Available,NULL
250168,2015,2016,7,1,1,5
250168,2016,2016,7.0000,1,1,5
260001,2014,2015,3,5,10,NULL
260001,2015,2016,3,4,10,6
260001,2016,2016,3.0000,4,10,6
260004,2014,2015,7,Not Available,Not Available,NULL
260004,2015,2016,Not Available,Not Available,Not Available,Not Available
260004,2016,2016,N/A,N/A,N/A,N/A
260005,2014,2015,4,6,10,NULL
260005,2015,2016,6,8,9,4
260005,2016,2016,6.0000,8,9,4
260006,2014,2015,2,6,6,NULL
260006,2015,2016,3,3,6,4
260006,2016,2016,3.0000,3,6,4
260009,2014,2015,8,Not Available,7,NULL
260009,2015,2016,9,Not Available,4,1
260009,2016,2016,9.0000,N/A,4,1
260011,2014,2015,2,10,3,NULL
260011,2015,2016,2,10,4,5
260011,2016,2016,2.0000,10,4,5
260015,2014,2015,8,Not Available,1,NULL
260015,2015,2016,5,Not Available,1,Not Available
260015,2016,2016,5.0000,N/A,1,N/A
260017,2014,2015,10,7,4,NULL
260017,2015,2016,8,7,8,3
260017,2016,2016,8.0000,7,8,3
260020,2014,2015,9,6,4,NULL
260020,2015,2016,7,5,6,2
260020,2016,2016,7.0000,5,6,2
260022,2014,2015,1,5,7,NULL
260022,2015,2016,1,5,6,4
260022,2016,2016,1.0000,5,6,4
260023,2014,2015,3,8,5,NULL
260023,2015,2016,4,8,5,3
260023,2016,2016,4.0000,8,5,3
260024,2014,2015,9,Not Available,1,NULL
260024,2015,2016,9,Not Available,9,Not Available
260024,2016,2016,9.0000,N/A,9,N/A
260025,2014,2015,3,6,7,NULL
260025,2015,2016,4,10,9,4
260025,2016,2016,4.0000,10,9,4
260027,2014,2015,9,5,10,NULL
260027,2015,2016,7,4,9,6
260027,2016,2016,7.0000,4,9,6
260032,2014,2015,10,5,8,NULL
260032,2015,2016,10,4,8,7
260032,2016,2016,10.0000,4,8,7
260034,2014,2015,6,Not Available,Not Available,NULL
260034,2015,2016,8,Not Available,Not Available,Not Available
260034,2016,2016,8.0000,N/A,N/A,N/A
260040,2014,2015,1,5,7,NULL
260040,2015,2016,1,4,6,5
260040,2016,2016,1.0000,4,6,5
260047,2014,2015,2,6,9,NULL
260047,2015,2016,2,6,10,5
260047,2016,2016,2.0000,6,10,5
260048,2014,2015,10,9,8,NULL
260048,2015,2016,9,9,7,7
260048,2016,2016,9.0000,9,7,7
260050,2014,2015,6,Not Available,Not Available,NULL
260050,2015,2016,4,Not Available,Not Available,Not Available
260050,2016,2016,4.0000,N/A,N/A,N/A
260052,2014,2015,9,1,5,NULL
260052,2015,2016,3,1,5,9
260052,2016,2016,3.0000,1,5,9
260057,2014,2015,3,Not Available,1,NULL
260057,2015,2016,3,Not Available,1,Not Available
260057,2016,2016,3.0000,N/A,1,N/A
260059,2014,2015,3,Not Available,10,NULL
260059,2015,2016,4,Not Available,6,5
260059,2016,2016,4.0000,N/A,6,5
260061,2014,2015,4,Not Available,Not Available,NULL
260061,2015,2016,7,Not Available,Not Available,Not Available
260061,2016,2016,7.0000,N/A,N/A,N/A
260062,2014,2015,6,1,9,NULL
260062,2015,2016,5,1,10,10
260062,2016,2016,5.0000,1,10,10
260064,2014,2015,3,Not Available,1,NULL
260064,2015,2016,3,Not Available,1,10
260064,2016,2016,3.0000,N/A,1,10
260065,2014,2015,6,2,5,NULL
260065,2015,2016,7,3,7,5
260065,2016,2016,7.0000,3,7,5
260068,2014,2015,5,1,4,NULL
260068,2015,2016,5,3,5,6
260068,2016,2016,5.0000,3,5,6
260070,2014,2015,3,1,1,NULL
260070,2015,2016,4,Not Available,1,Not Available
260070,2016,2016,4.0000,N/A,1,N/A
260074,2014,2015,2,Not Available,10,NULL
260074,2015,2016,8,Not Available,1,Not Available
260074,2016,2016,8.0000,N/A,1,N/A
260077,2014,2015,9,3,4,NULL
260077,2015,2016,10,3,4,5
260077,2016,2016,10.0000,3,4,5
260078,2014,2015,10,1,5,NULL
260078,2015,2016,7,8,4,1
260078,2016,2016,7.0000,8,4,1
260080,2014,2015,7,Not Available,Not Available,NULL
260080,2015,2016,6,Not Available,Not Available,Not Available
260080,2016,2016,6.0000,N/A,N/A,N/A
260081,2014,2015,6,3,5,NULL
260081,2015,2016,7,1,6,1
260081,2016,2016,7.0000,1,6,1
260085,2014,2015,3,2,2,NULL
260085,2015,2016,7,3,2,2
260085,2016,2016,7.0000,3,2,2
260091,2014,2015,6,4,4,NULL
260091,2015,2016,8,3,7,5
260091,2016,2016,8.0000,3,7,5
260094,2014,2015,4,8,7,NULL
260094,2015,2016,4,9,10,1
260094,2016,2016,4.0000,9,10,1
260095,2014,2015,8,9,9,NULL
260095,2015,2016,4,7,10,6
260095,2016,2016,4.0000,7,10,6
260096,2014,2015,2,3,6,NULL
260096,2015,2016,2,2,6,4
260096,2016,2016,2.0000,2,6,4
260097,2014,2015,5,Not Available,1,NULL
260097,2015,2016,5,Not Available,1,1
260097,2016,2016,5.0000,N/A,1,1
260102,2014,2015,7,Not Available,1,NULL
260102,2015,2016,9,1,4,10
260102,2016,2016,9.0000,1,4,10
260104,2014,2015,8,6,5,NULL
260104,2015,2016,6,9,8,4
260104,2016,2016,6.0000,9,8,4
260105,2014,2015,10,9,7,NULL
260105,2015,2016,10,9,8,7
260105,2016,2016,10.0000,9,8,7
260108,2014,2015,5,7,6,NULL
260108,2015,2016,4,9,7,6
260108,2016,2016,4.0000,9,7,6
260110,2014,2015,8,10,7,NULL
260110,2015,2016,9,10,10,6
260110,2016,2016,9.0000,10,10,6
260113,2014,2015,4,1,1,NULL
260113,2015,2016,8,6,2,10
260113,2016,2016,8.0000,6,2,10
260116,2014,2015,2,Not Available,5,NULL
260116,2015,2016,7,Not Available,1,4
260116,2016,2016,7.0000,N/A,1,4
260119,2014,2015,10,9,3,NULL
260119,2015,2016,10,9,3,10
260119,2016,2016,10.0000,9,3,10
260137,2014,2015,8,4,3,NULL
260137,2015,2016,3,3,3,3
260137,2016,2016,3.0000,3,3,3
260138,2014,2015,9,6,6,NULL
260138,2015,2016,8,5,6,5
260138,2016,2016,8.0000,5,6,5
260141,2014,2015,9,4,7,NULL
260141,2015,2016,10,3,7,3
260141,2016,2016,10.0000,3,7,3
260142,2014,2015,5,Not Available,Not Available,NULL
260142,2015,2016,5,Not Available,Not Available,Not Available
260142,2016,2016,5.0000,N/A,N/A,N/A
260147,2014,2015,7,Not Available,Not Available,NULL
260160,2014,2015,5,Not Available,Not Available,NULL
260160,2015,2016,7,Not Available,Not Available,Not Available
260160,2016,2016,7.0000,N/A,N/A,N/A
260162,2014,2015,10,8,5,NULL
260162,2015,2016,3,Not Available,Not Available,9
260162,2016,2016,3.0000,N/A,N/A,9
260163,2014,2015,7,Not Available,Not Available,NULL
260163,2015,2016,7,Not Available,Not Available,1
260163,2016,2016,7.0000,N/A,N/A,1
260175,2014,2015,5,1,10,NULL
260175,2015,2016,2,1,10,1
260175,2016,2016,2.0000,1,10,1
260176,2014,2015,7,3,8,NULL
260176,2015,2016,3,3,8,4
260176,2016,2016,3.0000,3,8,4
260177,2014,2015,6,4,9,NULL
260177,2015,2016,3,5,6,7
260177,2016,2016,3.0000,5,6,7
260179,2014,2015,10,2,1,NULL
260179,2015,2016,10,3,2,3
260179,2016,2016,10.0000,3,2,3
260180,2014,2015,10,2,9,NULL
260180,2015,2016,8,6,10,7
260180,2016,2016,8.0000,6,10,7
260183,2014,2015,8,7,8,NULL
260183,2015,2016,9,8,7,8
260183,2016,2016,9.0000,8,7,8
260186,2014,2015,3,1,9,NULL
260186,2015,2016,1,1,10,2
260186,2016,2016,1.0000,1,10,2
260190,2014,2015,4,10,10,NULL
260190,2015,2016,6,9,8,1
260190,2016,2016,6.0000,9,8,1
260191,2014,2015,7,7,4,NULL
260191,2015,2016,10,10,9,7
260191,2016,2016,10.0000,10,9,7
260193,2014,2015,9,9,4,NULL
260193,2015,2016,10,6,3,1
260193,2016,2016,10.0000,6,3,1
260195,2014,2015,1,Not Available,Not Available,NULL
260195,2015,2016,1,Not Available,6,1
260195,2016,2016,1.0000,N/A,6,1
260200,2014,2015,5,10,9,NULL
260200,2015,2016,5,10,10,5
260200,2016,2016,5.0000,10,10,5
260207,2014,2015,8,Not Available,Not Available,NULL
260207,2015,2016,6,Not Available,Not Available,Not Available
260207,2016,2016,6.0000,N/A,N/A,N/A
260209,2014,2015,6,Not Available,Not Available,NULL
260209,2015,2016,6,Not Available,Not Available,Not Available
260209,2016,2016,6.0000,N/A,N/A,N/A
260210,2014,2015,6,9,4,NULL
260210,2015,2016,7,10,5,Not Available
260210,2016,2016,7.0000,10,5,N/A
260214,2014,2015,3,Not Available,Not Available,NULL
260214,2015,2016,2,Not Available,Not Available,1
260214,2016,2016,2.0000,N/A,N/A,1
260216,2014,2015,6,4,10,NULL
260216,2015,2016,5,3,10,6
260216,2016,2016,5.0000,3,10,6
260219,2014,2015,10,8,1,NULL
260219,2015,2016,7,10,10,10
260219,2016,2016,7.0000,10,10,10
260227,2014,2015,7,Not Available,Not Available,NULL
260227,2015,2016,6,Not Available,Not Available,Not Available
260227,2016,2016,6.0000,N/A,N/A,N/A
260228,2014,2015,5,Not Available,Not Available,NULL
260229,2014,2015,Not Available,Not Available,Not Available,NULL
260229,2015,2016,7,Not Available,Not Available,10
270003,2014,2015,7,6,8,NULL
270003,2015,2016,5,9,3,2
270003,2016,2016,5.0000,9,3,2
270004,2014,2015,1,8,7,NULL
270004,2015,2016,1,10,5,4
270004,2016,2016,1.0000,10,5,4
270012,2014,2015,4,8,9,NULL
270012,2015,2016,6,8,7,5
270012,2016,2016,6.0000,8,7,5
270014,2014,2015,8,5,9,NULL
270014,2015,2016,4,8,8,6
270014,2016,2016,4.0000,8,8,6
270017,2014,2015,8,8,7,NULL
270017,2015,2016,10,10,6,7
270017,2016,2016,10.0000,10,6,7
270023,2014,2015,5,4,1,NULL
270023,2015,2016,2,3,1,1
270023,2016,2016,2.0000,3,1,1
270032,2014,2015,9,Not Available,Not Available,NULL
270032,2015,2016,9,Not Available,Not Available,Not Available
270032,2016,2016,9.0000,N/A,N/A,N/A
270049,2014,2015,6,8,7,NULL
270049,2015,2016,9,9,6,7
270049,2016,2016,9.0000,9,6,7
270051,2014,2015,3,8,4,NULL
270051,2015,2016,6,7,6,8
270051,2016,2016,6.0000,7,6,8
270057,2014,2015,8,3,5,NULL
270057,2015,2016,10,3,6,10
270057,2016,2016,10.0000,3,6,10
270074,2014,2015,6,Not Available,Not Available,NULL
270074,2015,2016,6,Not Available,Not Available,Not Available
270074,2016,2016,6.0000,N/A,N/A,N/A
270086,2014,2015,2,Not Available,Not Available,NULL
270086,2015,2016,2,Not Available,Not Available,Not Available
270086,2016,2016,2.0000,N/A,N/A,N/A
270087,2014,2015,4,Not Available,Not Available,NULL
270087,2015,2016,4,Not Available,Not Available,9
270087,2016,2016,4.0000,N/A,N/A,9
280003,2014,2015,6,4,9,NULL
280003,2015,2016,7,7,8,6
280003,2016,2016,7.0000,7,8,6
280009,2014,2015,4,1,8,NULL
280009,2015,2016,5,1,8,2
280009,2016,2016,5.0000,1,8,2
280013,2014,2015,8,8,8,NULL
280013,2015,2016,9,9,9,10
280013,2016,2016,9.0000,9,9,10
280020,2014,2015,8,8,4,NULL
280020,2015,2016,9,7,7,5
280020,2016,2016,9.0000,7,7,5
280023,2014,2015,10,5,6,NULL
280023,2015,2016,10,1,8,1
280023,2016,2016,10.0000,1,8,1
280030,2014,2015,8,4,9,NULL
280030,2015,2016,2,7,9,7
280030,2016,2016,2.0000,7,9,7
280032,2014,2015,8,1,1,NULL
280032,2015,2016,8,1,1,4
280032,2016,2016,8.0000,1,1,4
280040,2014,2015,10,6,6,NULL
280040,2015,2016,10,5,5,8
280040,2016,2016,10.0000,5,5,8
280060,2014,2015,1,7,9,NULL
280060,2015,2016,1,5,8,9
280060,2016,2016,1.0000,5,8,9
280061,2014,2015,7,8,2,NULL
280061,2015,2016,8,7,3,10
280061,2016,2016,8.0000,7,3,10
280065,2014,2015,7,9,10,NULL
280065,2015,2016,7,7,9,8
280065,2016,2016,7.0000,7,9,8
280077,2014,2015,7,10,1,NULL
280077,2015,2016,9,10,1,7
280077,2016,2016,9.0000,10,1,7
280081,2014,2015,1,9,10,NULL
280081,2015,2016,1,5,5,3
280081,2016,2016,1.0000,5,5,3
280105,2014,2015,5,7,1,NULL
280105,2015,2016,3,1,1,1
280105,2016,2016,3.0000,1,1,1
280111,2014,2015,3,Not Available,Not Available,NULL
280111,2015,2016,1,Not Available,Not Available,4
280111,2016,2016,1.0000,N/A,N/A,4
280119,2014,2015,7,10,10,NULL
280125,2014,2015,9,10,8,NULL
280125,2015,2016,3,5,10,10
280125,2016,2016,3.0000,5,10,10
280127,2014,2015,3,Not Available,Not Available,NULL
280127,2015,2016,2,Not Available,Not Available,Not Available
280127,2016,2016,2.0000,N/A,N/A,N/A
280128,2014,2015,1,Not Available,Not Available,NULL
280128,2015,2016,1,Not Available,Not Available,Not Available
280128,2016,2016,1.0000,N/A,N/A,N/A
280129,2014,2015,4,Not Available,Not Available,NULL
280129,2015,2016,2,Not Available,Not Available,Not Available
280129,2016,2016,2.0000,N/A,N/A,N/A
280130,2014,2015,3,8,8,NULL
280130,2015,2016,3,6,2,6
280130,2016,2016,3.0000,6,2,6
280131,2014,2015,5,Not Available,Not Available,NULL
280131,2015,2016,5,Not Available,Not Available,Not Available
280131,2016,2016,5.0000,N/A,N/A,N/A
280132,2014,2015,4,1,1,NULL
280132,2015,2016,1,1,1,7
280132,2016,2016,1.0000,1,1,7
280133,2014,2015,7,Not Available,Not Available,NULL
280133,2015,2016,7,Not Available,Not Available,Not Available
280133,2016,2016,7.0000,N/A,N/A,N/A
280134,2015,2016,Not Available,Not Available,Not Available,Not Available
280134,2016,2016,N/A,N/A,N/A,N/A
290001,2014,2015,8,5,7,NULL
290001,2015,2016,9,3,3,4
290001,2016,2016,9.0000,3,3,4
290002,2015,2016,7,Not Available,Not Available,10
290002,2016,2016,7.0000,N/A,N/A,10
290003,2014,2015,8,3,6,NULL
290003,2015,2016,3,5,7,8
290003,2016,2016,3.0000,5,7,8
290005,2014,2015,5,10,10,NULL
290005,2015,2016,8,10,10,1
290005,2016,2016,8.0000,10,10,1
290006,2014,2015,2,Not Available,Not Available,NULL
290006,2015,2016,4,Not Available,Not Available,10
290006,2016,2016,4.0000,N/A,N/A,10
290007,2014,2015,10,9,10,NULL
290007,2015,2016,10,9,9,10
290007,2016,2016,10.0000,9,9,10
290008,2014,2015,2,Not Available,1,NULL
290008,2015,2016,2,Not Available,1,Not Available
290008,2016,2016,2.0000,N/A,1,N/A
290009,2014,2015,6,4,7,NULL
290009,2015,2016,1,7,10,10
290009,2016,2016,1.0000,7,10,10
290012,2014,2015,5,2,4,NULL
290012,2015,2016,2,3,2,3
290012,2016,2016,2.0000,3,2,3
290019,2014,2015,8,2,6,NULL
290019,2015,2016,9,4,8,9
290019,2016,2016,9.0000,4,8,9
290020,2014,2015,7,10,10,NULL
290020,2015,2016,7,Not Available,Not Available,10
290021,2014,2015,8,9,5,NULL
290021,2015,2016,7,9,6,6
290021,2016,2016,7.0000,9,6,6
290022,2014,2015,1,2,2,NULL
290022,2015,2016,1,4,2,1
290022,2016,2016,1.0000,4,2,1
290032,2014,2015,9,9,Not Available,NULL
290032,2015,2016,8,Not Available,Not Available,3
290032,2016,2016,8.0000,N/A,N/A,3
290039,2014,2015,7,7,9,NULL
290039,2015,2016,8,8,7,6
290039,2016,2016,8.0000,8,7,6
290041,2014,2015,4,4,4,NULL
290041,2015,2016,5,6,6,7
290041,2016,2016,5.0000,6,6,7
290042,2014,2015,7,10,10,NULL
290045,2014,2015,8,6,7,NULL
290045,2015,2016,9,5,7,8
290045,2016,2016,9.0000,5,7,8
290046,2014,2015,7,7,7,NULL
290046,2015,2016,9,6,9,4
290046,2016,2016,9.0000,6,9,4
290047,2014,2015,8,8,6,NULL
290047,2015,2016,3,8,3,5
290047,2016,2016,3.0000,8,3,5
290049,2014,2015,3,9,4,NULL
290049,2015,2016,1,6,5,8
290049,2016,2016,1.0000,6,5,8
290051,2014,2015,6,Not Available,Not Available,NULL
290051,2015,2016,6,Not Available,Not Available,9
290053,2014,2015,3,3,7,NULL
290053,2015,2016,7,2,4,10
290053,2016,2016,7.0000,2,4,10
290054,2014,2015,7,3,1,NULL
290054,2015,2016,10,4,1,1
290054,2016,2016,10.0000,4,1,1
300001,2014,2015,2,4,10,NULL
300001,2015,2016,1,1,10,3
300001,2016,2016,1.0000,1,10,3
300003,2014,2015,10,6,6,NULL
300003,2015,2016,10,8,6,5
300003,2016,2016,10.0000,8,6,5
300005,2014,2015,3,Not Available,1,NULL
300005,2015,2016,2,1,2,1
300005,2016,2016,2.0000,1,2,1
300011,2014,2015,Not Available,Not Available,Not Available,NULL
300011,2015,2016,9,1,1,8
300011,2016,2016,9.0000,1,1,8
300012,2014,2015,8,3,10,NULL
300012,2015,2016,3,5,10,7
300012,2016,2016,3.0000,5,10,7
300014,2014,2015,7,Not Available,Not Available,NULL
300014,2015,2016,4,Not Available,Not Available,1
300014,2016,2016,4.0000,N/A,N/A,1
300017,2014,2015,5,1,6,NULL
300017,2015,2016,3,1,1,6
300017,2016,2016,3.0000,1,1,6
300018,2014,2015,5,1,3,NULL
300018,2015,2016,5,1,4,7
300018,2016,2016,5.0000,1,4,7
300019,2014,2015,8,Not Available,4,NULL
300019,2015,2016,2,Not Available,3,7
300019,2016,2016,2.0000,N/A,3,7
300020,2014,2015,6,1,7,NULL
300020,2015,2016,8,4,5,7
300020,2016,2016,8.0000,4,5,7
300023,2014,2015,1,1,7,NULL
300023,2015,2016,1,1,10,8
300023,2016,2016,1.0000,1,10,8
300029,2014,2015,2,7,5,NULL
300029,2015,2016,2,3,4,5
300029,2016,2016,2.0000,3,4,5
300034,2014,2015,8,7,10,NULL
300034,2015,2016,8,8,6,8
300034,2016,2016,8.0000,8,6,8
310001,2014,2015,9,8,4,NULL
310001,2015,2016,10,8,4,4
310001,2016,2016,10.0000,8,4,4
310002,2014,2015,10,7,6,NULL
310002,2015,2016,10,4,6,7
310002,2016,2016,10.0000,4,6,7
310003,2014,2015,8,9,8,NULL
310003,2015,2016,10,9,3,8
310003,2016,2016,10.0000,9,3,8
310005,2014,2015,4,1,7,NULL
310005,2015,2016,3,3,8,2
310005,2016,2016,3.0000,3,8,2
310006,2014,2015,8,10,10,NULL
310006,2015,2016,3,9,6,5
310006,2016,2016,3.0000,9,6,5
310008,2014,2015,8,9,3,NULL
310008,2015,2016,8,9,2,5
310008,2016,2016,8.0000,9,2,5
310009,2014,2015,2,10,4,NULL
310009,2015,2016,1,9,2,6
310009,2016,2016,1.0000,9,2,6
310010,2014,2015,8,9,6,NULL
310010,2015,2016,5,10,4,4
310010,2016,2016,5.0000,10,4,4
310011,2014,2015,6,4,1,NULL
310011,2015,2016,4,1,2,9
310011,2016,2016,4.0000,1,2,9
310012,2014,2015,2,9,9,NULL
310012,2015,2016,5,10,9,10
310012,2016,2016,5.0000,10,9,10
310014,2014,2015,9,4,6,NULL
310014,2015,2016,10,8,7,10
310014,2016,2016,10.0000,8,7,10
310015,2014,2015,5,6,5,NULL
310015,2015,2016,4,6,7,3
310015,2016,2016,4.0000,6,7,3
310016,2014,2015,8,9,1,NULL
310016,2015,2016,7,9,4,5
310016,2016,2016,7.0000,9,4,5
310017,2014,2015,10,8,3,NULL
310017,2015,2016,10,1,8,6
310017,2016,2016,10.0000,1,8,6
310019,2014,2015,5,8,5,NULL
310019,2015,2016,6,7,4,2
310019,2016,2016,6.0000,7,4,2
310021,2014,2015,10,4,6,NULL
310021,2015,2016,10,4,4,1
310021,2016,2016,10.0000,4,4,1
310022,2014,2015,1,4,6,NULL
310022,2015,2016,1,4,5,7
310022,2016,2016,1.0000,4,5,7
310024,2014,2015,1,5,2,NULL
310024,2015,2016,1,3,2,1
310024,2016,2016,1.0000,3,2,1
310025,2014,2015,1,9,7,NULL
310025,2015,2016,1,4,4,4
310025,2016,2016,1.0000,4,4,4
310027,2014,2015,5,9,5,NULL
310027,2015,2016,6,10,10,4
310027,2016,2016,6.0000,10,10,4
310028,2014,2015,1,1,3,NULL
310028,2015,2016,3,9,3,4
310028,2016,2016,3.0000,9,3,4
310029,2014,2015,2,4,8,NULL
310029,2015,2016,1,5,8,8
310029,2016,2016,1.0000,5,8,8
310031,2014,2015,1,4,4,NULL
310031,2015,2016,1,8,1,Not Available
310031,2016,2016,1.0000,8,1,N/A
310032,2014,2015,10,9,7,NULL
310032,2015,2016,9,10,5,7
310032,2016,2016,9.0000,10,5,7
310034,2014,2015,5,7,9,NULL
310034,2015,2016,9,10,7,6
310034,2016,2016,9.0000,10,7,6
310038,2014,2015,10,8,9,NULL
310038,2015,2016,10,9,9,8
310038,2016,2016,10.0000,9,9,8
310039,2014,2015,7,5,8,NULL
310039,2015,2016,5,6,10,2
310039,2016,2016,5.0000,6,10,2
310040,2014,2015,6,6,9,NULL
310040,2015,2016,8,1,7,10
310040,2016,2016,8.0000,1,7,10
310041,2014,2015,2,6,5,NULL
310041,2015,2016,3,4,5,9
310041,2016,2016,3.0000,4,5,9
310044,2014,2015,10,10,10,NULL
310044,2015,2016,10,8,10,10
310044,2016,2016,10.0000,8,10,10
310045,2014,2015,1,3,6,NULL
310045,2015,2016,1,3,5,4
310045,2016,2016,1.0000,3,5,4
310047,2014,2015,3,10,10,NULL
310047,2015,2016,1,9,10,6
310047,2016,2016,1.0000,9,10,6
310048,2014,2015,9,6,9,NULL
310048,2015,2016,8,5,10,6
310048,2016,2016,8.0000,5,10,6
310050,2014,2015,1,8,4,NULL
310050,2015,2016,1,8,5,3
310050,2016,2016,1.0000,8,5,3
310051,2014,2015,10,7,9,NULL
310051,2015,2016,10,6,10,4
310051,2016,2016,10.0000,6,10,4
310052,2014,2015,8,10,9,NULL
310052,2015,2016,7,10,10,2
310052,2016,2016,7.0000,10,10,2
310054,2014,2015,2,10,8,NULL
310054,2015,2016,7,10,8,8
310054,2016,2016,7.0000,10,8,8
310057,2014,2015,2,1,3,NULL
310057,2015,2016,2,1,4,7
310057,2016,2016,2.0000,1,4,7
310058,2014,2015,5,10,7,NULL
310058,2015,2016,5,7,3,Not Available
310058,2016,2016,5.0000,7,3,N/A
310060,2014,2015,9,1,10,NULL
310060,2015,2016,7,5,10,7
310060,2016,2016,7.0000,5,10,7
310061,2014,2015,6,5,6,NULL
310061,2015,2016,9,6,8,9
310061,2016,2016,9.0000,6,8,9
310064,2014,2015,2,8,8,NULL
310064,2015,2016,6,9,10,2
310064,2016,2016,6.0000,9,10,2
310069,2014,2015,4,1,6,NULL
310069,2015,2016,8,1,8,10
310069,2016,2016,8.0000,1,8,10
310070,2014,2015,9,8,9,NULL
310070,2015,2016,10,7,9,5
310070,2016,2016,10.0000,7,9,5
310073,2014,2015,4,8,5,NULL
310073,2015,2016,8,7,7,4
310073,2016,2016,8.0000,7,7,4
310074,2014,2015,2,7,2,NULL
310074,2015,2016,1,6,2,3
310074,2016,2016,1.0000,6,2,3
310075,2014,2015,7,9,7,NULL
310075,2015,2016,6,8,6,5
310075,2016,2016,6.0000,8,6,5
310076,2014,2015,10,3,2,NULL
310076,2015,2016,10,3,3,6
310076,2016,2016,10.0000,3,3,6
310081,2014,2015,1,5,5,NULL
310081,2015,2016,2,4,4,2
310081,2016,2016,2.0000,4,4,2
310083,2014,2015,1,2,3,NULL
310083,2015,2016,1,3,4,1
310083,2016,2016,1.0000,3,4,1
310084,2014,2015,5,6,8,NULL
310084,2015,2016,6,7,8,3
310084,2016,2016,6.0000,7,8,3
310086,2014,2015,5,5,4,NULL
310086,2015,2016,6,6,6,7
310086,2016,2016,6.0000,6,6,7
310091,2014,2015,3,10,9,NULL
310091,2015,2016,4,7,6,7
310091,2016,2016,4.0000,7,6,7
310092,2014,2015,7,7,7,NULL
310092,2015,2016,9,8,9,7
310092,2016,2016,9.0000,8,9,7
310096,2014,2015,3,9,7,NULL
310096,2015,2016,3,9,8,10
310096,2016,2016,3.0000,9,8,10
310108,2014,2015,10,8,6,NULL
310108,2015,2016,8,7,7,4
310108,2016,2016,8.0000,7,7,4
310110,2014,2015,10,9,6,NULL
310110,2015,2016,10,9,5,8
310110,2016,2016,10.0000,9,5,8
310111,2014,2015,9,7,8,NULL
310111,2015,2016,4,9,9,9
310111,2016,2016,4.0000,9,9,9
310112,2014,2015,1,7,8,NULL
310112,2015,2016,2,9,9,2
310112,2016,2016,2.0000,9,9,2
310113,2014,2015,8,10,5,NULL
310113,2015,2016,10,10,8,2
310113,2016,2016,10.0000,10,8,2
310115,2014,2015,10,1,1,NULL
310115,2015,2016,10,1,3,8
310115,2016,2016,10.0000,1,3,8
310118,2014,2015,8,10,4,NULL
310118,2015,2016,8,10,7,1
310118,2016,2016,8.0000,10,7,1
310119,2014,2015,10,10,9,NULL
310119,2015,2016,10,9,8,10
310119,2016,2016,10.0000,9,8,10
310130,2015,2016,2,8,10,1
310130,2016,2016,2.0000,8,10,1
320001,2014,2015,8,7,6,NULL
320001,2015,2016,9,6,7,10
320001,2016,2016,9.0000,6,7,10
320002,2014,2015,2,5,3,NULL
320002,2015,2016,8,10,6,10
320002,2016,2016,8.0000,10,6,10
