ProviderId,DataYear,MSPB_1_Score,MeasureStartDate,MeasureEndDate
010058,2014,1.06,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010058,2015,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010058,2016,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010059,2012,0.89,NULL,NULL
010059,2013,0.90,NULL,NULL
010059,2014,0.91,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010059,2015,0.91,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010059,2016,0.91,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010061,2012,0.87,NULL,NULL
010061,2013,0.85,NULL,NULL
010061,2014,0.86,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010061,2015,0.93,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010061,2016,0.93,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010062,2012,1.06,NULL,NULL
010062,2013,0.94,NULL,NULL
010062,2014,0.93,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010062,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010062,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010065,2012,0.96,NULL,NULL
010065,2013,0.96,NULL,NULL
010065,2014,1.01,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010065,2015,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010065,2016,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010066,2012,0.94,NULL,NULL
010066,2013,1.15,NULL,NULL
010069,2012,1.01,NULL,NULL
010069,2013,0.98,NULL,NULL
010069,2014,1.04,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010069,2015,0.92,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010069,2016,0.92,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010073,2012,1.03,NULL,NULL
010073,2013,0.94,NULL,NULL
010073,2014,0.90,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010073,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010073,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010078,2012,1,NULL,NULL
010078,2013,0.98,NULL,NULL
010078,2014,0.98,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010078,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010078,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010079,2012,0.97,NULL,NULL
010079,2013,0.98,NULL,NULL
010079,2014,0.96,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010079,2015,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010079,2016,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010083,2012,1.01,NULL,NULL
010083,2013,0.99,NULL,NULL
010083,2014,1.00,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010083,2015,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010083,2016,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010085,2012,0.97,NULL,NULL
010085,2013,0.98,NULL,NULL
010085,2014,0.95,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010085,2015,0.97,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010085,2016,0.97,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010086,2012,1.02,NULL,NULL
010086,2013,1.02,NULL,NULL
010086,2014,0.99,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010086,2015,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010086,2016,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010087,2012,0.96,NULL,NULL
010087,2013,0.94,NULL,NULL
010087,2014,0.97,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010087,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010087,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010089,2012,0.97,NULL,NULL
010089,2013,0.97,NULL,NULL
010089,2014,0.95,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010089,2015,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010089,2016,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010090,2012,0.98,NULL,NULL
010090,2013,0.98,NULL,NULL
010090,2014,0.97,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010090,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010090,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010091,2012,0.9,NULL,NULL
010091,2013,0.98,NULL,NULL
010091,2014,0.92,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010091,2015,1.06,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010091,2016,1.06,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010092,2012,0.99,NULL,NULL
010092,2013,1.00,NULL,NULL
010092,2014,0.99,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010092,2015,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010092,2016,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010095,2012,1.07,NULL,NULL
010095,2013,1.08,NULL,NULL
010095,2014,0.98,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010095,2015,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010095,2016,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010097,2012,1.16,NULL,NULL
010097,2013,1.05,NULL,NULL
010097,2014,1.14,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010097,2015,1.07,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010097,2016,1.07,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010099,2012,0.98,NULL,NULL
010099,2013,0.98,NULL,NULL
010099,2014,1.00,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010099,2015,1.09,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010099,2016,1.09,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010100,2012,0.96,NULL,NULL
010100,2013,0.97,NULL,NULL
010100,2014,0.97,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010100,2015,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010100,2016,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010101,2012,0.98,NULL,NULL
010101,2013,1.01,NULL,NULL
010101,2014,0.97,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010101,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010101,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010102,2012,0.92,NULL,NULL
010102,2013,1.19,NULL,NULL
010102,2014,1.05,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010102,2015,1.02,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010102,2016,1.02,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010103,2012,0.98,NULL,NULL
010103,2013,1.00,NULL,NULL
010103,2014,0.99,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
