ProviderId,DataYear,BaseScore,ConsistencyScore
030065,2014,22,14
030065,2015,11,15
030065,2016,11,15
030067,2013,25,16
030068,2013,23,18
030068,2014,26,18
030068,2015,13,16
030068,2016,13,16
030069,2013,9,15
030069,2014,2,11
030069,2015,6,12
030069,2016,6,12
030071,2013,4,11
030071,2014,22,15
030071,2015,17,10
030071,2016,17,10
030073,2013,26,19
030073,2014,0,7
030073,2015,6,7
030073,2016,6,7
030078,2013,15,12
030078,2014,19,14
030078,2015,23,13
030078,2016,23,13
030083,2013,25,17
030083,2014,10,16
030083,2015,0,13
030083,2016,0,13
030084,2014,1,5
030085,2013,27,16
030085,2014,8,14
030085,2015,3,9
030085,2016,3,9
030087,2013,8,15
030087,2014,14,17
030087,2015,24,17
030087,2016,24,17
030088,2013,27,14
030088,2014,24,15
030088,2015,20,17
030088,2016,20,17
030089,2013,22,16
030089,2014,25,16
030089,2015,15,15
030089,2016,15,15
030092,2013,6,15
030092,2014,6,15
030092,2015,8,13
030092,2016,8,13
030093,2013,20,14
030093,2014,19,16
030093,2015,13,15
030093,2016,13,15
030094,2013,21,17
030094,2014,10,15
030094,2015,2,13
030094,2016,2,13
030101,2013,16,14
030101,2014,20,15
030101,2015,4,10
030101,2016,4,10
030103,2013,48,20
030103,2014,65,20
030103,2015,63,20
030103,2016,63,20
030105,2013,33,16
030105,2014,37,16
030105,2015,28,15
030105,2016,28,15
030107,2013,66,20
030107,2014,67,20
030107,2015,71,20
030107,2016,71,20
030108,2013,59,20
030108,2014,57,20
030108,2015,56,20
030108,2016,56,20
030110,2013,17,18
030110,2014,5,13
030110,2015,0,12
030110,2016,0,12
030111,2013,18,14
030111,2014,14,12
030111,2015,6,11
030111,2016,6,11
030112,2013,73,20
030112,2014,71,20
030112,2015,78,20
030112,2016,78,20
030113,2015,Not Available,Not Available
030113,2016,Not Available,Not Available
030114,2013,33,20
030114,2014,12,16
030114,2015,12,15
030114,2016,12,15
030115,2013,25,18
030115,2014,26,20
030115,2015,29,20
030115,2016,29,20
030117,2013,5,11
030117,2014,15,12
030117,2015,4,11
030117,2016,4,11
030118,2013,22,19
030118,2014,16,18
030118,2015,30,17
030118,2016,30,17
030119,2013,32,17
030119,2014,21,16
030119,2015,11,14
030119,2016,11,14
030120,2014,59,19
030121,2013,14,16
030121,2014,1,13
030121,2015,3,12
030121,2016,3,12
030122,2013,20,17
030122,2014,29,17
030122,2015,24,18
030122,2016,24,18
030123,2013,17,16
030123,2014,34,18
030123,2015,47,19
030123,2016,47,19
030126,2013,0,6
030130,2013,62,20
030130,2014,43,20
030130,2015,32,20
030130,2016,32,20
030131,2013,56,20
030131,2014,51,20
030131,2015,39,20
030131,2016,39,20
030132,2014,25,16
030132,2015,Not Available,Not Available
030132,2016,Not Available,Not Available
030134,2015,61,20
030134,2016,61,20
040001,2013,9,15
040001,2014,33,20
040001,2015,19,17
040001,2016,19,17
040002,2013,14,14
040002,2014,21,14
040002,2015,19,14
040002,2016,19,14
040004,2013,36,20
040004,2014,33,20
040004,2015,20,19
040004,2016,20,19
040007,2013,11,18
040007,2014,12,19
040007,2015,7,16
040007,2016,7,16
040010,2013,16,17
040010,2014,24,18
040010,2015,17,13
040010,2016,17,13
040011,2014,61,16
040011,2015,19,9
040011,2016,19,9
040014,2013,34,19
040014,2014,21,18
040014,2015,38,20
040014,2016,38,20
040015,2014,16,16
040015,2015,42,19
040015,2016,42,19
040016,2013,20,19
040016,2014,16,18
040016,2015,16,17
040016,2016,16,17
040017,2013,26,18
040017,2014,13,16
040017,2015,14,16
040017,2016,14,16
040018,2013,23,18
040018,2014,27,17
040018,2015,7,14
040018,2016,7,14
040019,2013,27,16
040019,2014,23,18
040019,2015,9,16
040019,2016,9,16
040020,2013,27,18
040020,2014,37,20
040020,2015,17,17
040020,2016,17,17
040022,2013,17,19
040022,2014,5,14
040022,2015,5,16
040022,2016,5,16
040026,2013,17,18
040026,2014,9,17
040026,2015,9,16
040026,2016,9,16
040027,2013,6,15
040027,2014,38,20
040027,2015,23,18
040027,2016,23,18
040029,2013,25,19
040029,2014,27,18
040029,2015,19,18
040029,2016,19,18
040036,2013,23,19
040036,2014,25,20
040036,2015,17,19
040036,2016,17,19
040039,2013,30,18
040039,2014,31,15
040039,2015,10,16
040039,2016,10,16
040041,2013,15,18
040041,2014,1,12
040041,2015,2,15
040041,2016,2,15
040042,2013,15,16
040042,2014,32,18
040047,2014,18,15
040050,2013,56,18
040050,2014,50,20
040050,2015,40,17
040050,2016,40,17
040051,2013,22,12
040051,2014,27,14
040051,2015,9,14
040051,2016,9,14
040055,2013,7,12
040055,2014,0,9
040055,2015,0,9
040055,2016,0,9
040062,2013,14,18
040062,2014,18,17
040062,2015,5,16
040062,2016,5,16
040067,2013,71,20
040067,2014,40,20
040067,2015,22,19
040067,2016,22,19
040069,2013,11,15
040069,2014,9,9
040071,2013,22,18
040071,2014,13,18
040071,2015,5,15
040071,2016,5,15
040072,2013,41,20
040072,2014,26,16
040072,2015,20,18
040072,2016,20,18
040074,2013,25,18
040074,2014,12,14
040074,2015,7,10
040074,2016,7,10
040076,2013,21,13
040076,2014,28,13
040076,2015,47,16
040076,2016,47,16
040078,2013,29,20
040078,2014,9,17
040078,2015,9,18
040078,2016,9,18
040080,2013,15,17
040080,2014,15,17
040080,2015,19,15
