ProviderId,DataYear,MId_60_PTId_7_ProcedureVolume,MId_60_PTId_1_ProcedureVolume,MId_60_PTId_4_ProcedureVolume,MId_60_PTId_2_ProcedureVolume,MId_60_PTId_5_ProcedureVolume,MId_60_PTId_8_ProcedureVolume,MId_60_PTId_9_ProcedureVolume,MId_60_PTId_3_ProcedureVolume,MId_60_PTId_6_ProcedureVolume
020024,2016,23,46,105,239,354,8,26,576,483
020026,2014,NULL,0,0,0,0,NULL,0,0,0
020026,2015,37,152,461,913,2302,613,2246,1453,574
020026,2016,46,330,308,799,1270,318,953,943,324
021303,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
021306,2014,NULL,1,7,0,73,NULL,6,319,4
021306,2015,0,3,7,0,68,0,6,373,0
021306,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
021311,2014,NULL,18,149,13,212,NULL,30,1041,82
021311,2015,87,16,59,13,254,4,33,1122,137
021311,2016,0,20,65,83,247,0,55,1092,175
021313,2014,NULL,21,90,199,378,NULL,53,854,31
021313,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
021313,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
030001,2014,NULL,158,316,0,1012,NULL,786,808,310
030001,2015,1,22,5,0,3,2,7,232,3
030001,2016,1,4,6,0,4,0,17,399,0
030002,2014,NULL,1457,351,0,964,NULL,1541,1779,66
030002,2015,1323,1360,351,0,1026,0,2084,2910,58
030002,2016,149,1588,344,0,1292,239,3301,2473,198
030006,2014,NULL,968,1605,80,2814,NULL,626,2884,8973
030006,2015,114,1444,1140,162,2270,241,4288,1969,6154
030006,2016,199,368,837,157,2792,334,5629,1834,6485
030007,2014,NULL,183,186,40,557,NULL,21,3577,91
030007,2015,56,294,190,0,468,37,20,2210,392
030007,2016,62,126,121,3,581,49,44,3146,51
030010,2014,NULL,432,143,0,607,NULL,90,5284,4
030010,2015,170,394,166,0,425,26,104,3248,122
030010,2016,59,574,118,0,582,0,1263,5695,6
030011,2014,NULL,271,419,921,914,NULL,143,1348,0
030011,2015,121,229,454,1187,753,183,209,865,184
030011,2016,92,232,283,594,1185,0,1212,1200,0
030012,2014,NULL,394,119,0,181,NULL,267,3123,66
030012,2015,42,65,197,0,150,48,26,2331,45
030012,2016,36,74,169,0,168,12,42,3355,50
030013,2014,NULL,1054,795,79,344,NULL,49,785,49
030013,2015,44,1346,624,167,595,286,51,970,61
030013,2016,56,1386,538,80,644,279,59,1116,56
030014,2014,NULL,304,226,2,1212,NULL,145,1725,1022
030014,2015,11,283,222,3,600,129,219,1140,685
030014,2016,46,266,192,0,496,296,211,1781,1082
030016,2014,NULL,59,716,0,559,NULL,29,3348,0
030016,2015,283,38,1388,0,1058,17,97,962,0
030016,2016,111,125,264,0,411,39,666,1701,87
030022,2014,NULL,17,130,293,197,NULL,68,95,0
030022,2015,26,16,113,242,49,0,121,111,29
030022,2016,31,11,186,286,191,0,132,1110,0
030023,2014,NULL,207,82,1,359,NULL,67,421,177
030023,2015,202,149,144,11,388,43,86,328,101
030023,2016,73,137,183,10,553,71,288,534,141
030024,2014,NULL,456,1559,0,1334,NULL,1990,3022,56
030024,2015,484,389,1169,0,263,432,297,2295,70
030024,2016,19,432,589,0,388,872,185,2364,435
030030,2014,NULL,184,231,0,398,NULL,346,3903,526
030030,2015,410,892,205,0,1402,12,3607,2226,441
030030,2016,499,163,129,0,1128,263,1873,3892,19
030033,2014,NULL,48,48,186,77,NULL,43,1819,0
030033,2015,0,61,25,196,123,8,437,970,382
030033,2016,5,44,42,242,132,14,22,1190,667
030036,2014,NULL,881,676,0,233,NULL,1013,1953,23
030036,2015,229,987,942,0,377,164,5757,1784,87
030036,2016,324,1352,607,0,321,257,6345,161,135
030037,2014,NULL,547,74,395,2968,NULL,2055,2454,5129
030037,2015,3,505,10,1129,1127,14,2041,989,7079
030037,2016,1,295,150,1085,1074,30,50,2400,9231
030038,2014,NULL,29,89,204,1069,NULL,65,4281,14
030038,2015,155,41,99,143,722,26,71,2840,116
030038,2016,127,41,66,168,903,56,295,4101,105
030043,2014,NULL,53,147,0,870,NULL,994,4489,213
030043,2015,9,34,120,0,347,0,18,4071,0
030043,2016,48,96,157,0,353,26,110,4539,115
030055,2014,NULL,586,51,0,494,NULL,1476,371,614
030055,2015,0,643,38,0,1463,174,2006,702,1659
030055,2016,0,119,32,0,129,702,872,508,212
030061,2014,NULL,783,394,0,1258,NULL,494,3089,1851
030061,2015,1421,866,565,0,1079,0,937,3591,352
030061,2016,268,1520,451,0,996,294,1823,1843,447
030062,2014,NULL,1501,765,14,770,NULL,716,1387,707
030062,2015,16,279,222,12,655,22,1492,1103,506
030062,2016,15,30,187,15,898,36,2886,1074,576
030064,2014,NULL,7104,3449,0,4561,NULL,1797,4665,303
030064,2015,0,1394,1634,118,6098,840,2266,2656,334
030064,2016,324,75,224,859,238,336,149,1420,117
030065,2014,NULL,1013,413,0,526,NULL,494,3125,288
030065,2015,747,909,513,0,882,0,468,3417,411
030065,2016,366,1110,582,0,850,289,502,2861,850
030068,2014,NULL,42,3,0,220,NULL,140,1379,0
030068,2015,421,16,8,0,491,0,43,1160,6
030068,2016,14,16,3,0,221,0,47,1362,79
030069,2014,NULL,229,612,0,1496,NULL,1487,2411,958
030069,2015,116,334,198,0,1487,135,3815,1859,2263
030069,2016,0,540,548,0,1154,147,3002,2383,1869
030077,2014,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available
030077,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
030077,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
030083,2014,NULL,158,316,0,1012,NULL,786,808,310
030083,2015,2,178,254,0,2209,25,2636,699,112
030083,2016,14,113,246,0,1679,49,2478,773,89
030085,2014,NULL,252,511,0,3060,NULL,4139,5265,31
030085,2015,969,331,499,211,2640,73,5034,3304,394
030085,2016,349,274,642,435,1600,162,1762,6173,962
030087,2014,NULL,48,1138,0,1603,NULL,73,4633,750
030087,2015,388,45,1402,0,1343,74,80,3097,192
030087,2016,572,102,976,0,1414,133,572,3670,250
030088,2014,NULL,733,386,0,472,NULL,1040,2662,97
030088,2015,1430,686,476,0,454,0,1711,2197,84
030088,2016,172,374,613,0,815,229,4856,1795,217
030089,2014,NULL,756,552,0,834,NULL,531,6386,79
030089,2015,1588,749,656,0,1366,0,823,3882,50
030089,2016,193,1190,681,0,1322,265,808,2286,234
030092,2014,NULL,325,413,0,1543,NULL,119,4658,251
030092,2015,205,287,699,0,831,115,121,3572,326
030092,2016,350,341,426,0,865,220,487,5215,195
030093,2014,NULL,387,589,0,1854,NULL,90,3529,61
030093,2015,645,435,693,0,2048,0,147,3730,97
030093,2016,177,649,574,0,1559,228,173,3279,586
030094,2014,NULL,215,932,0,626,NULL,741,310,2096
030094,2015,100,488,596,0,531,182,246,1891,672
030094,2016,116,298,566,0,626,232,544,2742,100
030101,2014,NULL,154,52,0,399,NULL,91,2645,156
030101,2015,19,103,59,0,246,33,1746,1671,184
030101,2016,25,141,142,0,255,66,2547,2702,174
030103,2014,NULL,1089,507,0,1920,NULL,888,2927,2370
030103,2015,354,781,557,0,1981,0,975,3397,2336
030103,2016,454,1322,481,0,2439,327,497,3201,3060
030105,2014,NULL,517,0,0,0,NULL,0,4,0
030105,2015,7,457,0,0,0,0,2,3,0
030105,2016,0,1497,0,0,0,0,6,3,0
030107,2014,NULL,0,0,0,860,NULL,0,0,0
030107,2015,0,0,0,0,400,0,0,0,0
030107,2016,0,0,0,0,9,0,0,0,0
030108,2014,NULL,0,0,0,2,NULL,0,1,148
030108,2015,11,1,0,0,325,0,6,105,191
030108,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
030110,2014,NULL,156,401,0,127,NULL,110,3193,5
030110,2015,11,279,272,0,216,19,976,2693,37
030110,2016,21,129,173,0,195,62,1026,3290,79
030111,2014,NULL,82,111,66,330,NULL,73,1487,2
030111,2015,17,9,147,145,348,0,73,2105,15
030111,2016,1,10,135,1005,523,0,52,994,1186
030112,2014,NULL,0,0,0,3351,NULL,0,0,0
030112,2015,0,0,0,0,2825,0,0,0,0
030112,2016,1,6,0,0,1332,0,14,1,121
030114,2014,NULL,106,506,0,1329,NULL,1147,2780,438
030114,2015,0,188,278,64,366,57,26,1822,79
030114,2016,6,56,952,226,425,32,71,2750,315
030115,2014,NULL,393,866,0,230,NULL,107,2367,130
030115,2015,130,369,970,0,375,0,126,2772,44
030115,2016,68,520,745,0,399,137,91,2048,109
030117,2014,NULL,139,449,55,690,NULL,618,1046,304
030117,2015,3,142,125,110,557,6,2080,535,362
030117,2016,6,63,370,53,310,29,771,742,208
030118,2014,NULL,17,39,0,296,NULL,19,14,4
030118,2015,96,29,34,0,282,0,9,10,12
030118,2016,69,51,40,0,243,0,50,14,20
030119,2014,NULL,331,291,0,867,NULL,42,1396,55
030119,2015,89,373,428,0,730,114,68,1164,101
030119,2016,173,813,261,0,1058,121,210,1098,104
030120,2014,NULL,2,6,0,0,NULL,2,162,0
030120,2015,0,0,0,0,2,0,0,7,0
030120,2016,0,0,1,0,4,0,2,25,3
030121,2014,NULL,314,145,0,307,NULL,525,1721,148
030121,2015,109,298,486,153,973,27,806,1752,358
030121,2016,10,113,359,299,570,40,99,2013,1792
030122,2014,NULL,124,395,0,279,NULL,171,1667,10
030122,2015,1250,575,481,0,188,0,301,1823,26
030122,2016,432,526,454,28,778,124,335,1348,111
030123,2014,NULL,11,100,0,191,NULL,26,1942,6
030123,2015,7,9,254,0,134,28,14,1574,7
030123,2016,13,17,171,0,173,30,32,2490,4
030130,2014,NULL,16,70,0,129,NULL,16,131,4
030130,2015,27,18,72,0,173,0,26,768,4
030130,2016,1,9,55,0,222,6,40,589,19
030131,2014,NULL,44,0,0,603,NULL,9,0,301
030131,2015,0,0,0,0,681,0,0,0,0
030131,2016,0,0,0,0,898,0,0,0,0
030132,2014,NULL,0,3,0,4,NULL,4,21,0
030132,2015,0,0,21,0,0,0,0,14,0
030132,2016,0,0,0,0,0,0,0,0,0
030134,2014,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available
030134,2015,3,8,1,0,0,0,1,2,0
030134,2016,0,1,0,0,1,0,6,45,3
030136,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
030136,2016,0,0,0,0,0,0,0,0,0
030137,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
031300,2014,NULL,0,0,0,0,NULL,0,0,0
031300,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
031300,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
031304,2014,NULL,23,8,0,17,NULL,9,240,240
031304,2015,70,16,12,0,16,0,8,264,167
031304,2016,0,6,6,0,8,0,16,112,142
031309,2014,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available
031309,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
031309,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
031312,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
031313,2014,NULL,0,51,0,3,NULL,23,903,0
031313,2015,0,0,38,0,2,0,2,516,0
031313,2016,0,0,47,0,106,0,533,878,0
031314,2014,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available
031314,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
