ProviderId,DataYear,PAYM_30_AMI_Payment,PAYM_30_HF_Payment,PAYM_30_PN_Payment,PAYM_30_AMI_LowerEstimate,PAYM_30_HF_LowerEstimate,PAYM_30_PN_LowerEstimate,PAYM_30_AMI_HigherEstimate,PAYM_30_HF_HigherEstimate,PAYM_30_PN_HigherEstimate,PAYM_30_AMI_Denominator,PAYM_30_HF_Denominator,PAYM_30_PN_Denominator,PAYM_30_AMI_NationalComparisonCategory,PAYM_30_HF_NationalComparisonCategory,PAYM_30_PN_NationalComparisonCategory
450196,2015,"$24,669","$15,851","$14,660","$22,455","$14,861","$13,814","$27,017","$16,925","$15,528",194,396,435,Greater than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
450200,2015,"$25,448","$16,198","$15,944","$22,893","$14,933","$14,714","$28,305","$17,551","$17,153",143,252,238,Greater than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
450203,2014,24274,NULL,NULL,21375,NULL,NULL,27681,NULL,NULL,67,NULL,NULL,Greater than the National Average Payment,NULL,NULL
450210,2015,Not Available,"$14,765","$16,012",Not Available,"$12,774","$14,288",Not Available,"$17,073","$17,779",Not Available,55,97,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450211,2015,"$23,033","$15,965","$14,869","$21,101","$14,751","$13,974","$25,048","$17,331","$15,749",228,247,415,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
450213,2014,19728,NULL,NULL,17181,NULL,NULL,22458,NULL,NULL,54,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450214,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
450219,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
450221,2016,Not Available,"$14,972","$15,074",Not Available,"$12,914","$12,965",Not Available,"$17,278","$17,258",Not Available,42,51,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450229,2014,21661,NULL,NULL,20301,NULL,NULL,23084,NULL,NULL,406,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450231,2014,20661,NULL,NULL,19524,NULL,NULL,21857,NULL,NULL,515,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450235,2015,Not Available,"$14,791","$13,749",Not Available,"$12,781","$12,065",Not Available,"$17,201","$15,544",Not Available,44,76,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450236,2015,"$22,845","$16,616","$13,984","$20,268","$14,935","$12,831","$25,891","$18,430","$15,110",78,125,226,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
450237,2015,"$24,652","$16,640","$15,794","$23,095","$15,809","$15,119","$26,261","$17,525","$16,500",449,671,773,Greater than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
450292,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
450293,2016,Not Available,Not Available,"$13,702",Not Available,Not Available,"$11,693",Not Available,Not Available,"$15,920",Not Available,Not Available,35,Number of Cases Too Small,Number of Cases Too Small,No Different than the National Average Payment
450299,2014,21661,NULL,NULL,19455,NULL,NULL,24053,NULL,NULL,98,NULL,NULL,No Different than the National Average Payment,NULL,NULL
